,State/Province,Postcode,Store Number,City,Country,Population,Median Age,Household Income,Per Capita Income,Latitude,Longitude,Poverty Count,Race White,Race African American,Race American Indian,Race Asian,Race Pacific Islander,Race Two or More,ageCategory,ageBinned,householdCategory,householdBinned
0,AK,99501.0,2,Anchorage,US,17213.0,38.3,54579.0,39690.0,61.22,-149.89,2622.0,9757.0,1744.0,2194.0,1114.0,416.0,3187.0,3,"(35, 55]",2,"(0, 60000]"
1,AK,99502.0,4,Anchorage,US,23649.0,32.8,87250.0,39021.0,61.18,-149.95,1741.0,16743.0,950.0,1428.0,1491.0,198.0,4441.0,2,"(18, 35]",2,"(60000, 120000]"
2,AK,99503.0,1,Anchorage,US,14107.0,34.0,46819.0,27693.0,61.18,-149.88,2379.0,7346.0,1231.0,1148.0,2024.0,631.0,2622.0,2,"(18, 35]",1,"(0, 60000]"
3,AK,99504.0,5,Anchorage,US,42189.0,31.3,77132.0,31811.0,61.23,-149.74,3549.0,23243.0,4529.0,3233.0,4430.0,1081.0,10362.0,2,"(18, 35]",2,"(60000, 120000]"
4,AK,99505.0,1,Fort Richardson,US,6479.0,21.6,51582.0,19267.0,61.26,-149.68,248.0,4429.0,922.0,39.0,181.0,13.0,1350.0,2,"(18, 35]",2,"(0, 60000]"
5,AK,99506.0,1,Anchorage,US,7541.0,22.7,58537.0,21115.0,61.23,-149.75,179.0,5338.0,1138.0,15.0,264.0,37.0,852.0,2,"(18, 35]",2,"(0, 60000]"
6,AK,99507.0,3,Anchorage,US,40013.0,33.5,85935.0,39237.0,61.18,-149.84,2368.0,25360.0,2238.0,2313.0,4836.0,483.0,7212.0,2,"(18, 35]",2,"(60000, 120000]"
7,AK,99508.0,2,Anchorage,US,35437.0,30.3,58955.0,29441.0,61.22,-149.82,5204.0,16678.0,2548.0,4326.0,3897.0,2474.0,8736.0,2,"(18, 35]",2,"(0, 60000]"
8,AK,99515.0,5,Anchorage,US,22661.0,33.2,95430.0,41142.0,61.14,-149.85,1015.0,15345.0,639.0,1023.0,3027.0,71.0,4443.0,2,"(18, 35]",2,"(60000, 120000]"
9,AK,99517.0,1,Anchorage,US,16809.0,36.0,72258.0,39398.0,61.19,-149.92,1409.0,11236.0,395.0,1085.0,1753.0,538.0,3149.0,3,"(35, 55]",2,"(60000, 120000]"
10,AK,99577.0,3,Eagle River,US,28565.0,31.4,99628.0,37468.0,61.35,-149.55,1116.0,23522.0,588.0,1002.0,1071.0,15.0,4405.0,2,"(18, 35]",2,"(60000, 120000]"
