Postcode,Population,Median Age,Household Income,Race White,City,State,State Population Rank,Starbucks Count
94502.0,13615.0,44.9,109801.0,5628.0,ALAMEDA,CA,1.0,2821
11596.0,10636.0,41.4,110575.0,8324.0,WILLISTON PARK,NY,4.0,645
11795.0,25074.0,42.8,110815.0,23801.0,WEST ISLIP,NY,4.0,645
78260.0,28279.0,35.7,111076.0,23990.0,SAN ANTONIO,TX,2.0,1042
11766.0,12723.0,41.7,111397.0,11707.0,MOUNT SINAI,NY,4.0,645
75054.0,7366.0,34.7,111826.0,3511.0,GRAND PRAIRIE,TX,2.0,1042
12767.0,42.0,20.8,111875.0,42.0,OBERNBURG,NY,4.0,645
11762.0,22943.0,42.7,112083.0,22113.0,MASSAPEQUA PARK,NY,4.0,645
10983.0,5649.0,44.0,113036.0,4364.0,TAPPAN,NY,4.0,645
79911.0,3763.0,32.3,115000.0,2884.0,EL PASO,TX,2.0,1042
11559.0,8403.0,39.9,115252.0,7254.0,LAWRENCE,NY,4.0,645
11730.0,14066.0,41.9,115402.0,13703.0,EAST ISLIP,NY,4.0,645
79783.0,281.0,37.6,115417.0,281.0,TARZAN,TX,2.0,1042
78015.0,11001.0,44.4,116647.0,9985.0,BOERNE,TX,2.0,1042
10594.0,5172.0,40.4,116950.0,4688.0,THORNWOOD,NY,4.0,645
11771.0,9577.0,43.7,118264.0,8449.0,OYSTER BAY,NY,4.0,645
94555.0,36693.0,37.0,118623.0,6943.0,FREMONT,CA,1.0,2821
11804.0,4757.0,44.2,118900.0,4417.0,OLD BETHPAGE,NY,4.0,645
10567.0,20741.0,43.8,119521.0,16430.0,CORTLANDT MANOR,NY,4.0,645
10986.0,1836.0,40.3,119671.0,1759.0,TOMKINS COVE,NY,4.0,645
