State,City,Postcode,State Population Rank,Household Income,Median Age,Population,Race White,Starbucks Count
NJ,BELFORD,07718,18,100000,39.8,7037,6384,261
IL,BLOOMINGTON,61705,5,99965,36.1,13474,11565,575
PA,AMBLER,19002,11,99910,43.4,33565,27703,357
MD,GLYNDON,21071,15,99886,42.1,615,564,257
CT,WEATOGUE,06089,30,99738,42.5,3216,2663,123
NY,FLORAL PARK,11001,4,99691,41.6,27551,19664,645
NJ,TRENTON,08690,18,99643,45.4,19716,17253,261
NY,MANLIUS,13104,4,99631,43.1,16000,13920,645
MN,AFTON,55001,20,99519,52.3,2959,2750,184
CT,WEST GRANBY,06090,30,99514,47.9,1113,1051,123
CA,TOPANGA,90290,1,99505,44.7,6478,5854,2821
CA,SILVERADO,92676,1,99444,47.3,1993,1798,2821
CA,SLOUGHHOUSE,95683,1,99348,50.4,6411,5261,2821
MN,ORONOCO,55960,20,99306,44.5,3195,2965,184
NJ,NEW EGYPT,08533,18,99235,43,6441,6072,261
NJ,SPRINGFIELD,07081,18,99211,44.4,17101,13534,261
NY,CLARENCE CENTER,14032,4,99194,41.9,7841,7508,645
CT,GUILFORD,06437,30,99132,48,22392,21076,123
NH,NEW BOSTON,03070,46,99028,41.7,5342,5334,29
ND,HORACE,58047,49,98947,36.1,3802,3724,13
MA,LANCASTER,01523,23,98918,37.7,7877,6892,273
MN,LAKE ELMO,55042,20,98844,43.5,8971,8546,184
CA,SANTA BARBARA,93111,1,98807,44.3,18440,13994,2821
NH,RYE,03870,46,98750,54.4,5306,5255,29
CT,HIGGANUM,06441,30,98750,47.3,5139,4903,123
VT,NORWICH,05055,51,98750,44.3,3342,3027,8
RI,CRANSTON,02921,50,98666,40.7,12217,10875,27
CT,RIVERTON,06065,30,98646,47.2,876,872,123
NH,GREENLAND,03840,46,98625,43.6,3895,3818,29
MD,CENTREVILLE,21617,15,98594,41,10274,9466,257
MD,BEL AIR,21015,15,98517,41.1,28146,24533,257
ME,FALMOUTH,04105,48,98517,47.1,11587,11051,30
