Brand,Store Number,Ownership Type,City,State/Province,Country,Postcode,Longitude,Latitude,New_Country_Code,Avg_Temp_celcius,Continent
Starbucks,3513-125945,Licensed,Anchorage,AK,US,99504,-149.78,61.21,USA,7.939524,North America
Starbucks,74352-84449,Licensed,Anchorage,AK,US,99507,-149.84,61.14,USA,7.939524,North America
Starbucks,12449-152385,Licensed,Anchorage,AK,US,99515,-149.85,61.11,USA,7.939524,North America
Starbucks,24936-233524,Company Owned,Anchorage,AK,US,99515,-149.89,61.13,USA,7.939524,North America
Starbucks,8973-85630,Company Owned,Anchorage,AK,US,99515,-149.86,61.14,USA,7.939524,North America
Starbucks,72788-84447,Licensed,Anchorage,AK,US,99508,-149.87,61.19,USA,7.939524,North America
Starbucks,79549-106150,Licensed,Anchorage,AK,US,99508,-149.82,61.22,USA,7.939524,North America
Starbucks,75988-107245,Licensed,Anchorage,AK,US,99502,-149.98,61.18,USA,7.939524,North America
Starbucks,11426-99254,Company Owned,Anchorage,AK,US,99503,-149.88,61.18,USA,7.939524,North America
Starbucks,20349-108249,Licensed,Anchorage,AK,US,99504,-149.74,61.21,USA,7.939524,North America
Starbucks,74266-52019,Licensed,Anchorage,AK,US,99504,-149.74,61.2,USA,7.939524,North America
Starbucks,72727-61659,Licensed,Anchorage,AK,US,99507,-149.84,61.14,USA,7.939524,North America
Starbucks,76943-129964,Licensed,Anchorage,AK,US,99504,-149.74,61.23,USA,7.939524,North America
Starbucks,72784-33081,Licensed,Anchorage,AK,US,99515,-149.92,61.14,USA,7.939524,North America
Starbucks,9622-85633,Company Owned,Anchorage,AK,US,99507,-149.84,61.18,USA,7.939524,North America
Starbucks,75323-100264,Licensed,Anchorage,AK,US,99506,-149.75,61.23,USA,7.939524,North America
Starbucks,79664-81037,Licensed,Anchorage,AK,US,99502,-149.96,61.14,USA,7.939524,North America
Teavana,28191-249962,Company Owned,Anchorage,AK,US,99501,-149.89,61.22,USA,7.939524,North America
Starbucks,3774-145044,Licensed,Anchorage,AK,US,99515,-149.88,61.13,USA,7.939524,North America
Starbucks,28028-249124,Licensed,Anchorage,AK,US,99502,-149.95,61.15,USA,7.939524,North America
Starbucks,75697-94324,Licensed,Anchorage,AK,US,99502,-149.98,61.17,USA,7.939524,North America
Starbucks,74430-51979,Licensed,Anchorage,AK,US,99517,-149.92,61.19,USA,7.939524,North America
Starbucks,17941-159568,Company Owned,Anchorage,AK,US,99504,-149.74,61.23,USA,7.939524,North America
Starbucks,19819-178265,Company Owned,Anchorage,AK,US,99501,-149.89,61.22,USA,7.939524,North America
Starbucks,74265-64199,Licensed,Eagle River,AK,US,99577,-149.57,61.32,USA,7.939524,North America
Starbucks,10126-97747,Company Owned,Eagle River,AK,US,99577,-149.57,61.33,USA,7.939524,North America
Starbucks,72772-78880,Licensed,Eagle River,AK,US,99577,-149.55,61.35,USA,7.939524,North America
Starbucks,79719-100712,Licensed,Fairbanks,AK,US,99709,-147.81,64.84,USA,7.939524,North America
Starbucks,74452-94707,Licensed,Fairbanks,AK,US,99701,-147.7,64.85,USA,7.939524,North America
Starbucks,72709-33079,Licensed,Fairbanks,AK,US,99709,-147.82,64.84,USA,7.939524,North America
Starbucks,27150-246609,Licensed,Fairbanks,AK,US,99709,-147.87,64.82,USA,7.939524,North America
Starbucks,72975-95761,Licensed,Fairbanks,AK,US,99701,-147.69,64.85,USA,7.939524,North America
Starbucks,75471-106357,Licensed,Fort Richardson,AK,US,99505,-149.68,61.26,USA,7.939524,North America
Starbucks,70386-135644,Licensed,Fort Wainwright,AK,US,99703,-147.65,64.83,USA,7.939524,North America
Starbucks,74917-98110,Licensed,Homer,AK,US,99603,-151.54,59.64,USA,7.939524,North America
Starbucks,74283-69901,Licensed,Juneau,AK,US,99801,-134.55,58.36,USA,7.939524,North America
Starbucks,79324-94693,Licensed,Juneau,AK,US,99801,-134.56,58.36,USA,7.939524,North America
Starbucks,74640-93401,Licensed,Ketchikan,AK,US,99901,-131.67,55.35,USA,7.939524,North America
Starbucks,74474-94708,Licensed,Kodiak,AK,US,99615,-152.37,57.81,USA,7.939524,North America
Starbucks,25843-94709,Licensed,North Pole,AK,US,99705,-147.35,64.76,USA,7.939524,North America
Starbucks,15313-159926,Licensed,Palmer,AK,US,99645,-149.13,61.6,USA,7.939524,North America
Starbucks,72980-94694,Licensed,Palmer,AK,US,99645,-149.12,61.6,USA,7.939524,North America
Starbucks,74706-97007,Licensed,Seward,AK,US,99664,-149.43,60.13,USA,7.939524,North America
Starbucks,72946-94692,Licensed,Soldotna,AK,US,99669,-151.05,60.49,USA,7.939524,North America
Starbucks,74695-94706,Licensed,Soldotna,AK,US,99669,-151.07,60.48,USA,7.939524,North America
Starbucks,17912-136436,Company Owned,Wasilla,AK,US,99654,-149.41,61.58,USA,7.939524,North America
Starbucks,4146-104969,Licensed,Wasilla,AK,US,99654,-149.44,61.58,USA,7.939524,North America
Starbucks,76916-131305,Licensed,Wasilla,AK,US,99654,-149.41,61.58,USA,7.939524,North America
Starbucks,72773-82040,Licensed,Wasilla,AK,US,99654,-149.41,61.58,USA,7.939524,North America
Starbucks,76795-96265,Licensed,Alabaster,AL,US,35007,-86.81,33.23,USA,7.939524,North America
Starbucks,13210-95453,Company Owned,Alabaster,AL,US,35007,-86.8,33.22,USA,7.939524,North America
Starbucks,10796-102254,Company Owned,Alabaster,AL,US,35007,-86.83,33.21,USA,7.939524,North America
Starbucks,10248-100069,Company Owned,Athens,AL,US,35611,-86.95,34.78,USA,7.939524,North America
Starbucks,47255-121766,Licensed,Auburn,AL,US,36830,-85.46,32.61,USA,7.939524,North America
Starbucks,22803-218127,Licensed,Auburn,AL,US,36849,-85.48,32.61,USA,7.939524,North America
Starbucks,78065-105597,Licensed,Auburn,AL,US,36849,-85.49,32.6,USA,7.939524,North America
Starbucks,76912-128666,Licensed,Bessemer,AL,US,35022,-86.93,33.33,USA,7.939524,North America
Starbucks,72614-22325,Licensed,Birmingham,AL,US,35242,-86.71,33.43,USA,7.939524,North America
Starbucks,13779-108621,Company Owned,Birmingham,AL,US,35210,-86.72,33.53,USA,7.939524,North America
