State/Province,Postcode,Starbucks Count,City,Country,Latitude,Longitude,Population,Median Age,Household Income,Per Capita Income,Cafe Count
AK,99501,2,Anchorage,US,61.22,-149.89,17213,38.3,54579,39690,35
AK,99502,4,Anchorage,US,61.18,-149.95,23649,32.8,87250,39021,10
AK,99503,1,Anchorage,US,61.18,-149.88,14107,34.0,46819,27693,54
AK,99504,5,Anchorage,US,61.23,-149.74,42189,31.3,77132,31811,8
AK,99505,1,Fort Richardson,US,61.26,-149.68,6479,21.6,51582,19267,0
AK,99506,1,Anchorage,US,61.23,-149.75,7541,22.7,58537,21115,8
AK,99507,3,Anchorage,US,61.18,-149.84,40013,33.5,85935,39237,28
AK,99508,2,Anchorage,US,61.22,-149.82,35437,30.3,58955,29441,7
AK,99515,5,Anchorage,US,61.14,-149.85,22661,33.2,95430,41142,25
AK,99517,1,Anchorage,US,61.19,-149.92,16809,36.0,72258,39398,35
AK,99577,3,Eagle River,US,61.35,-149.55,28565,31.4,99628,37468,3
AK,99603,1,Homer,US,59.64,-151.54,10130,38.6,57622,30310,10
AK,99615,1,Kodiak,US,57.81,-152.37,13197,32.1,72574,30857,3
AK,99645,2,Palmer,US,61.6,-149.12,27818,34.8,77619,30968,9
AK,99654,4,Wasilla,US,61.58,-149.41,56325,33.2,74955,29865,25
AK,99664,1,Seward,US,60.13,-149.43,4892,40.5,63309,29317,2
AK,99669,2,Soldotna,US,60.49,-151.05,14464,38.0,70845,32516,10
AK,99701,2,Fairbanks,US,64.85,-147.69,18900,30.4,51637,28460,26
AK,99703,1,Fort Wainwright,US,64.83,-147.65,7726,22.3,53557,20104,3
AK,99705,1,North Pole,US,64.76,-147.35,24421,30.5,74920,30720,6
AK,99709,3,Fairbanks,US,64.84,-147.81,31594,35.1,77209,38517,16
AK,99801,2,Juneau,US,58.36,-134.55,30262,37.3,86240,39926,3
AK,99901,1,Ketchikan,US,55.35,-131.67,13717,38.7,64222,32010,10
AL,35007,3,Alabaster,US,33.23,-86.8,26499,36.2,65649,24701,3
AL,35022,1,Bessemer,US,33.33,-86.93,20020,41.1,60159,28721,1
AL,35055,1,Cullman,US,34.15,-86.84,20290,38.7,37614,20451,1
AL,35068,1,Fultondale,US,33.61,-86.81,7966,39.1,51240,25532,1
AL,35071,1,Gardendale,US,33.65,-86.82,15763,42.7,56967,29328,2
AL,35203,1,Birmingham,US,33.5,-86.81,3193,38.7,18283,21939,27
AL,35205,2,Birmingham,US,33.51,-86.79,21141,28.5,30910,25582,31
AL,35209,3,Homewood,US,33.47,-86.77,29463,29.4,49739,31286,13
AL,35210,1,Birmingham,US,33.53,-86.72,13763,47.3,44368,31500,4
AL,35212,2,Birmingham,US,33.56,-86.75,13372,32.4,27265,18203,3
AL,35216,2,Vestavia Hills,US,33.45,-86.79,36098,33.9,52930,36208,2
AL,35223,2,Mountain Brook,US,33.51,-86.77,10660,44.1,117371,64130,11
AL,35226,1,Hoover,US,33.4,-86.83,34514,37.4,89375,41337,2
AL,35233,2,Birmingham,US,33.51,-86.8,1393,28.3,51389,31321,30
AL,35235,2,Trussville,US,33.6,-86.64,18730,38.3,50047,25136,3
AL,35242,3,Hoover,US,33.43,-86.67,52466,39.7,83090,47314,3
AL,35243,1,Vestavia Hills,US,33.46,-86.74,16870,39.9,71042,50063,5
AL,35244,4,Hoover,US,33.38,-86.81,33470,37.2,81796,39884,10
AL,35401,1,Tuscaloosa,US,33.21,-87.55,36746,22.6,24143,11843,21
AL,35404,2,Tuscaloosa,US,33.2,-87.51,21397,28.0,39439,20057,8
AL,35487,1,Tuscaloosa,US,33.21,-87.55,0,0.0,0,0,21
AL,35601,1,Decatur,US,34.59,-86.96,33493,36.2,36506,20416,5
AL,35603,1,Decatur,US,34.56,-87.0,31058,42.3,52456,30444,2
AL,35611,1,Athens,US,34.78,-86.95,25405,40.9,37358,23556,3
AL,35630,1,Florence,US,34.84,-87.64,33352,34.8,31331,20284,4
AL,35632,1,Florence,US,34.8,-87.68,0,0.0,0,0,6
AL,35758,3,Madison,US,34.75,-86.74,44472,37.6,84691,41796,5
AL,35801,3,Huntsville,US,34.77,-86.58,22813,43.6,59904,38584,1
AL,35802,2,Huntsville,US,34.69,-86.55,21349,45.2,62741,41482,4
AL,35806,2,Huntsville,US,34.75,-86.68,20629,35.9,69620,38743,3
AL,35904,1,Gadsden,US,33.99,-86.08,14274,40.7,31988,17680,2
AL,36066,2,Prattville,US,32.47,-86.39,19243,35.6,55436,27300,3
AL,36106,2,Montgomery,US,32.36,-86.22,15224,34.5,47633,30112,4
AL,36116,1,Montgomery,US,32.34,-86.18,44196,31.3,42191,21852,4
AL,36117,3,Montgomery,US,32.38,-86.16,52232,34.5,61795,33184,1
AL,36203,2,Oxford,US,33.61,-85.78,18138,41.2,51362,23991,2
AL,36303,1,Dothan,US,31.27,-85.45,31316,38.2,39892,24150,4
AL,36526,1,Daphne,US,30.65,-87.91,31420,36.3,63312,29573,3
AL,36527,1,Spanish Fort,US,30.67,-87.85,13597,40.6,82485,37820,3
AL,36535,1,Foley,US,30.38,-87.68,27236,43.8,42433,23769,3
AL,36542,1,Gulf Shores,US,30.3,-87.68,13315,48.1,47121,31042,2
AL,36561,1,Orange Beach,US,30.27,-87.59,6035,55.6,58218,37903,2
AL,36604,1,Mobile,US,30.68,-88.07,10046,39.8,44336,27355,6
AL,36606,3,Mobile,US,30.68,-88.12,19135,34.6,35307,21840,10
AL,36608,2,Mobile,US,30.7,-88.13,37301,33.6,48625,28908,10
AL,36688,1,Mobile,US,30.7,-88.18,337,20.3,0,3056,4
AL,36695,3,Mobile,US,30.68,-88.19,48227,36.9,65464,32225,7
AL,36801,3,Opelika,US,32.64,-85.37,24273,36.5,38011,23769,2
AL,36830,1,Auburn,US,32.61,-85.46,36303,29.1,51155,31481,12
AL,36849,2,Auburn,US,32.61,-85.48,3539,19.4,0,2047,12
AR,71854,1,Texarkana,US,33.46,-94.04,37014,37.3,39846,21277,5
AR,71913,1,Hot Springs,US,34.46,-93.06,44123,44.6,37213,25431,7
AR,71999,1,Arkadelphia,US,34.13,-93.06,774,19.9,0,3323,2
AR,72015,1,Benton,US,34.61,-92.53,29757,35.3,46565,22296,1
AR,72022,2,Bryant,US,34.61,-92.53,16318,37.2,59643,28313,1
AR,72032,3,Conway,US,35.11,-92.39,32534,32.7,45840,22494,0
AR,72035,1,Conway,US,35.08,-92.45,1523,19.5,0,2503,17
AR,72076,1,Jacksonville,US,34.89,-92.11,39359,34.4,42089,20288,4
AR,72099,1,"Little Rock,",US,34.9,-92.15,662,21.4,0,20718,1
AR,72113,1,Maumelle,US,34.85,-92.4,22999,33.9,60558,33655,0
AR,72116,2,North Little Rock,US,34.82,-92.23,21920,41.0,59544,34436,5
AR,72143,1,Searcy,US,35.25,-91.69,36782,31.3,45269,23770,2
AR,72149,1,Searcy,US,35.25,-91.73,0,0.0,0,0,12
AR,72201,2,Little Rock,US,34.75,-92.27,888,51.8,67441,88974,23
AR,72202,2,Little Rock,US,34.73,-92.22,10905,38.4,31498,25664,0
AR,72205,3,Little Rock,US,34.75,-92.34,23798,34.9,50212,31119,10
AR,72207,2,Little Rock,US,34.77,-92.34,10092,40.6,64129,53155,8
AR,72209,1,Little Rock,US,34.66,-92.41,30592,30.3,28943,14640,2
AR,72211,2,Little Rock,US,34.75,-92.4,23415,33.7,63772,33276,17
AR,72212,1,Little Rock,US,34.77,-92.4,13181,42.6,95276,46787,12
AR,72223,2,Little Rock,US,34.8,-92.42,22139,39.8,90266,52296,2
AR,72227,1,Little Rock,US,34.76,-92.38,11683,38.9,61182,37713,15
AR,72401,4,Jonesboro,US,35.84,-90.67,56614,32.0,36620,20042,9
AR,72653,1,Mountain Home,US,36.35,-92.37,27912,52.1,36834,23824,3
AR,72701,2,Fayetteville,US,36.07,-94.18,41869,26.9,37610,24224,21
AR,72703,1,Fayetteville,US,36.12,-94.15,30718,31.0,38741,33529,8
AR,72704,1,Fayetteville,US,36.08,-94.21,23827,32.0,54219,28299,1
AR,72712,2,Bentonville,US,36.36,-94.2,46387,33.8,72369,36136,15
AR,72719,1,Bentonville,US,36.36,-94.25,9988,28.9,56109,23349,1
AR,72756,1,Rogers,US,36.33,-94.18,39811,35.2,46344,24155,10
AR,72758,3,Rogers,US,36.31,-94.15,38516,32.1,61311,32112,2
AR,72762,1,Springdale,US,36.18,-94.18,36261,35.7,57196,27354,6
AR,72802,1,Russellville,US,35.28,-93.11,21052,41.3,47532,23814,3
AR,72903,2,Ft. Smith,US,35.36,-94.36,26841,40.1,45125,31304,8
